features,n_features,scaler,model,seq_length,mse,rmse,mae,r2,mape
"('USPPIYY', 'UNRATE')",2,MinMax,RNN,50,0.005449139009069513,0.07381828370444217,0.06640346894873587,0.9156622432075225,39.41020018556176
"('USPPIYY', 'UNRATE')",2,MinMax,ANN,50,0.0032964314797821223,0.05741455808226797,0.049520791979799174,0.9489802634944333,33.687376783319586
"('USPPIYY', 'UNRATE')",2,MinMax,RANDOM_FOREST,N/A,0.00011885206492869849,0.010901929413122178,0.006609486240504368,0.9981604953498971,4.843779762165988
"('USPPIYY', 'UNRATE')",2,MinMax,XGBOOST,N/A,9.005140266516329e-05,0.009489541752116552,0.006520199233782837,0.9986062507702308,2.9209029607154133
"('USPPIYY', 'UNRATE')",2,Standard,LSTM,50,0.0034440749013218367,0.05868624115857001,0.04627111899866139,0.9963870249773251,46.702615606024125
"('USPPIYY', 'UNRATE')",2,Standard,GRU,50,0.009123268510026355,0.09551580241000102,0.06739319826411784,0.9904293192812879,25.567421219437346
"('USPPIYY', 'UNRATE')",2,Standard,CNN,50,0.004864300674093252,0.06974453866858144,0.05774022474866835,0.9948971502241329,57.027261674719384
"('USPPIYY', 'UNRATE')",2,Standard,RNN,50,0.009218439086716445,0.09601270273623405,0.0695745387714771,0.9903294814652337,35.4497541187636
"('USPPIYY', 'UNRATE')",2,Standard,ANN,50,0.02209805949623607,0.1486541607094671,0.11452298606435035,0.9768182344179444,99.24204902987395
"('USPPIYY', 'UNRATE')",2,Standard,RANDOM_FOREST,N/A,0.0017217597756584665,0.04149409326227609,0.02545327527870143,0.9981938037810638,20.47225119914841
"('USPPIYY', 'UNRATE')",2,Standard,XGBOOST,N/A,0.0012719682776492222,0.03566466427220677,0.024243272122841542,0.9986656534052097,26.680144320585963
"('USPPIYY', 'USOIL')",2,MinMax,LSTM,50,0.0012362742129267293,0.035160691303310995,0.028431899199620775,0.9808658590421186,12.484384140041252
"('USPPIYY', 'USOIL')",2,MinMax,GRU,50,0.0026324739475435976,0.05130764024532406,0.04229200666480854,0.9592565087473559,21.423765642271
"('USPPIYY', 'USOIL')",2,MinMax,CNN,50,0.00059252657551141,0.024341868776069968,0.0195868028394948,0.9908293104405325,9.549376533709806
"('USPPIYY', 'USOIL')",2,MinMax,RNN,50,0.0016682435565552004,0.04084413735844106,0.03231852713071912,0.9741801559642365,12.466060626191783
"('USPPIYY', 'USOIL')",2,MinMax,ANN,50,0.0029923227188460113,0.05470212718757847,0.044271686568026124,0.9536870347248246,19.60690414806465
"('USPPIYY', 'USOIL')",2,MinMax,RANDOM_FOREST,N/A,8.510384922854111e-05,0.009225174753279263,0.004441097070848478,0.9986828253552728,1.2956998282123293
"('USPPIYY', 'USOIL')",2,MinMax,XGBOOST,N/A,9.665390901087083e-05,0.009831271993535264,0.0059771189382087555,0.9985040620439974,2.193333594682641
"('USPPIYY', 'USOIL')",2,Standard,LSTM,50,0.0014167089410004048,0.037639194212953135,0.028958007614178067,0.9985138145467538,21.294822146594043
"('USPPIYY', 'USOIL')",2,Standard,GRU,50,0.001978595821440938,0.04448140984097669,0.03621814697020734,0.9979243722951289,47.74523830300314
"('USPPIYY', 'USOIL')",2,Standard,CNN,50,0.002064155726189499,0.045432980599884695,0.03956740243087906,0.9978346164658697,30.275090174037533
"('USPPIYY', 'USOIL')",2,Standard,RNN,50,0.0038977315489445914,0.06243181519821918,0.043453827883485605,0.9959111206536119,26.070188033905143
"('USPPIYY', 'USOIL')",2,Standard,ANN,50,0.012130404306332719,0.11013811468484795,0.07095569609892804,0.987274711198381,32.62847228176937
"('USPPIYY', 'USOIL')",2,Standard,RANDOM_FOREST,N/A,0.0011236836687841586,0.03352139121194343,0.01667157192967155,0.9988212100070336,11.683833540382011
"('USPPIYY', 'USOIL')",2,Standard,XGBOOST,N/A,0.0013741667823427867,0.03706975562831224,0.022585910884428982,0.9985584430060773,24.570239430635965
"('INDPRO', 'UNRATE')",2,MinMax,LSTM,50,0.0022284925306768717,0.04720691189515442,0.03551524203609618,0.9655090353258997,13.076113677174542
"('INDPRO', 'UNRATE')",2,MinMax,GRU,50,0.0009787436959857807,0.03128487967031008,0.024366631085376452,0.9848517265467385,13.639691253327383
"('INDPRO', 'UNRATE')",2,MinMax,CNN,50,0.0007385596213360895,0.027176453435577085,0.02099564230379505,0.9885691186043676,10.201784164118314
"('INDPRO', 'UNRATE')",2,MinMax,RNN,50,0.0018227749733147197,0.04269396881662233,0.03484870125151354,0.9717884326072492,21.083761850759867
"('INDPRO', 'UNRATE')",2,MinMax,ANN,50,0.004685601071330363,0.06845145046914902,0.0491024016522529,0.9274797205718722,22.542055483036457
"('INDPRO', 'UNRATE')",2,MinMax,RANDOM_FOREST,N/A,2.9842338562971823e-05,0.005462814161489646,0.0026724257360561804,0.9995381222817672,1.4047107302692425
"('INDPRO', 'UNRATE')",2,MinMax,XGBOOST,N/A,5.487561183670187e-05,0.0074078074918765184,0.005083195089718837,0.9991506757311166,2.4824067208506175
"('INDPRO', 'UNRATE')",2,Standard,LSTM,50,0.003860375559217216,0.0621319206142641,0.04976579088303153,0.9959503086102328,51.77369223814399
"('INDPRO', 'UNRATE')",2,Standard,GRU,50,0.0033650492366952126,0.058009044438735696,0.04254571968365046,0.9964699261222266,29.841129266888
"('INDPRO', 'UNRATE')",2,Standard,CNN,50,0.003649314356053697,0.0604095551717913,0.04686032573301159,0.9961717204195384,33.8996200298344
"('INDPRO', 'UNRATE')",2,Standard,RNN,50,0.06488866823141387,0.25473254254494826,0.19793397624222928,0.9319291408311833,112.44379269027777
"('INDPRO', 'UNRATE')",2,Standard,ANN,50,0.013799176850251503,0.11746989763446422,0.09252100002837325,0.985524100746387,146.69553780476696
"('INDPRO', 'UNRATE')",2,Standard,RANDOM_FOREST,N/A,0.00044812633586218385,0.021168994682369397,0.010321069197947548,0.9995298971988525,6.187021582275366
"('INDPRO', 'UNRATE')",2,Standard,XGBOOST,N/A,0.0008683377025359022,0.029467570353456395,0.019731106034995616,0.999089078338771,14.941233904728248
"('INDPRO', 'USOIL')",2,MinMax,LSTM,50,0.0023140074681474603,0.04810413150808837,0.03228649625578554,0.9641854981603925,14.675602222076245
"('INDPRO', 'USOIL')",2,MinMax,GRU,50,0.0006696262933978064,0.025877138431399372,0.018320964925389673,0.9896360178405367,8.014090862367308
"('INDPRO', 'USOIL')",2,MinMax,CNN,50,0.001972287228785242,0.04441044053806765,0.028388449491122326,0.969474392128858,14.28925419068919
"('INDPRO', 'USOIL')",2,MinMax,RNN,50,0.0039395669247371925,0.06276596947978412,0.04692243398108413,0.9390262871596463,25.409752043181022
"('INDPRO', 'USOIL')",2,MinMax,ANN,50,0.00281354851500419,0.05304289316208336,0.035907240835568205,0.9564539700698921,17.78806342900821
"('INDPRO', 'USOIL')",2,MinMax,RANDOM_FOREST,N/A,3.784424697326396e-05,0.006151767792534432,0.0025930911634423444,0.9994142746419364,1.0914328897727248
"('INDPRO', 'USOIL')",2,MinMax,XGBOOST,N/A,5.5821618629057906e-05,0.007471386660390286,0.004947861945439683,0.9991360341353259,1.969146000115344
